"date","symbol","active_addresses","block_count","block_size_block_bytes","block_mean_size_bytes","cap_mrkt_cur","fees_daily_mean_native_units","fees_daily_mean_usd","fees_daily_median_native_units","fees_daily_median_usd","fees_daily_total_native_units","fees_daily_total_usd","supply_issued_daily","annual_inflation_rate","supply_issued_usd_equivalent_scheduled_daily","supply_issued_native_units_total","supply_issued_usd_equivalent_total","adjusted_nvt","adjusted_nvt_90_day_ma","price_btc","price_usd","roi_1_year","roi_30_days","supply_current","transactions_count_daily","transactions_successful_transfers_daily_count","transactions_native_units_transferred_adjusted","transactions_usd_equivalent_adjusted","transactions_mean_native_units_per_transaction","transactions_mean_usd_equivalent_per_transaction","transactions_median_native_units_per_transaction","transactions_median_usd_equivalent_per_transaction","transactions_sum_native_units_transferred_daily","transactions_sum_usd_equivalent_units_transferred_daily","volatility_180_days","volatility_60_days","volatility_30_days","date_time_utc","pk_dummy","pkey"
"2017-09-23","ADA",0,406,271056,667.62561576,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,"0",0,0,"31112484745",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,"2017-09-23 00:00:01","2017-09-23 00","2017-09-23 00ADA"
"2017-09-24","ADA",8,4320,2876663,665.89421296,NA,"0.1398796",NA,0.170894,NA,0.699398,NA,0,0,NA,0,NA,1,NA,NA,NA,NA,NA,"0.300602",5,9,"0.300602",NA,"0.31199111",NA,"0.558212",NA,"2.80792",NA,NA,NA,NA,"2017-09-24 00:00:01","2017-09-24 00","2017-09-24 00ADA"
"2017-09-25","ADA",16,4320,2742565,634.85300926,NA,"0.065079625",NA,0,NA,0.520637,NA,0,0,NA,0,NA,1.0671082,NA,NA,NA,NA,NA,"4.779965",8,11,"4.479363",NA,"0.64887045",NA,"1",NA,"7.137575",NA,NA,NA,NA,"2017-09-25 00:00:01","2017-09-25 00","2017-09-25 00ADA"
"2017-09-26","ADA",4,4320,2863442,662.8337963,NA,"0.178761",NA,0.178761,NA,0.178761,NA,0,0,NA,0,NA,4.18062479,NA,NA,NA,NA,NA,"4.601204",1,2,"1.100602",NA,"0.550301",NA,"1.100602",NA,"1.100602",NA,NA,NA,NA,"2017-09-26 00:00:01","2017-09-26 00","2017-09-26 00ADA"
"2017-09-27","ADA",12,4320,2741944,634.70925926,NA,"0.1139295",NA,0.170806,NA,0.683577,NA,0,0,NA,0,NA,1,NA,NA,NA,NA,NA,"2463071705.917627",6,9,"2463071702.646423",NA,"547349267.147281",NA,"0.964553",NA,"4926143404.325529",NA,NA,NA,NA,"2017-09-27 00:00:01","2017-09-27 00","2017-09-27 00ADA"
"2017-09-28","ADA",65,4306,2888367,670.77728751,NA,"0.062388138888888896",NA,0,NA,2.245973,NA,0,0,NA,0,NA,1.69880637,NA,NA,NA,NA,NA,"5987753239.671654",36,48,"3524682600.88322",NA,"113938314.34929292",NA,"749991.5",NA,"5469039088.76606",NA,NA,NA,NA,"2017-09-28 00:00:01","2017-09-28 00","2017-09-28 00ADA"
"2017-09-29","ADA",4747,4320,3556882,823.35231481,NA,"0.03926250824286273",NA,0,NA,97.645858,NA,0,0,NA,0,NA,2.47417194,NA,NA,NA,NA,NA,"9990992137.025796",2487,3035,"4038115532.654631",NA,"2345286.61214637",NA,"825277",NA,"7117944867.86424",NA,NA,NA,NA,"2017-09-29 00:00:01","2017-09-29 00","2017-09-29 00ADA"
"2017-09-30","ADA",4976,4319,3489211,807.87473952,NA,"0.05781594224683484",NA,0,NA,146.158702,NA,0,0,NA,0,NA,2.96046598,NA,NA,NA,NA,NA,"14004021378.867094",2528,3351,"4730343619.374466",NA,"2720713.2797026",NA,"791085",NA,"9117110200.283407",NA,NA,NA,NA,"2017-09-30 00:00:01","2017-09-30 00","2017-09-30 00ADA"
"2017-10-01","ADA",5973,4316,3869136,896.46339203,NA,"0.09404741117570835",NA,0.17107,NA,291.170785,NA,0,0,NA,0,NA,3.75698265,NA,NA,NA,NA,NA,"16950977122.696309",3096,4757,"4511859298.150883",NA,"4228024.03408753",NA,"833347",NA,"20112710330.154371",NA,NA,NA,NA,"2017-10-01 00:00:01","2017-10-01 00","2017-10-01 00ADA"
"2017-10-02","ADA",5858,4314,3706416,859.15994437,NA,"0.10739877777777493",NA,0.17107,NA,316.074603,NA,0,0,NA,0,NA,4.80023257,NA,NA,NA,NA,NA,"19348712430.621706",2943,4735,"4030786453.433312",NA,"8798568.94591527",NA,"983735",NA,"41661223958.908822",NA,NA,NA,NA,"2017-10-02 00:00:01","2017-10-02 00","2017-10-02 00ADA"
"2017-10-03","ADA",3701,4320,3469263,803.07013889,NA,"0.10081912776548539",NA,0.17107,NA,182.280983,NA,0,0,NA,0,NA,6.98295223,NA,NA,NA,NA,NA,"20981546209.340723",1808,2826,"3004681330.555373",NA,"8306338.37602407",NA,"817787.153662",NA,"23473712250.644016",NA,NA,NA,NA,"2017-10-03 00:00:01","2017-10-03 00","2017-10-03 00ADA"
"2017-10-04","ADA",1769,4319,3130826,724.89604075,NA,"0.06978899185098932",NA,0,NA,59.948744,NA,0,0,NA,0,NA,14.90926123,NA,NA,NA,NA,NA,"21803336238.391979",859,1194,"1462402188.016067",NA,"8344874.6490089",NA,"770521.657508",NA,"9963780330.916623",NA,NA,NA,NA,"2017-10-04 00:00:01","2017-10-04 00","2017-10-04 00ADA"
"2017-10-05","ADA",2454,4320,3157743,730.95902778,NA,"0.13143775272422306",NA,0.17107,NA,156.805239,NA,0,0,NA,0,NA,10.44396069,NA,NA,NA,NA,NA,"22299418294.58674",1193,2075,"2135149581.382678",NA,"9030554.91667272",NA,"1800401.657684",NA,"18738401452.09589",NA,NA,NA,NA,"2017-10-05 00:00:01","2017-10-05 00","2017-10-05 00ADA"
"2017-10-06","ADA",1844,4320,3177892,735.62314815,NA,"0.12879569966254129",NA,0.17107,NA,114.499377,NA,0,0,NA,0,NA,11.39735783,NA,NA,NA,NA,NA,"22681292470.087363",889,1537,"1990048290.072834",NA,"9513442.68397571",NA,"3146000.486262",NA,"14622161405.270668",NA,NA,NA,NA,"2017-10-06 00:00:01","2017-10-06 00","2017-10-06 00ADA"
"2017-10-07","ADA",1371,4320,2966675,686.73032407,NA,"0.12204346348733186",NA,0.17107,NA,81.891164,NA,0,0,NA,0,NA,18.27912588,NA,NA,NA,NA,NA,"23152667057.196199",671,1131,"1266617846.458945",NA,"8895815.32211905",NA,"1964761",NA,"10061167129.31665",NA,NA,NA,NA,"2017-10-07 00:00:01","2017-10-07 00","2017-10-07 00ADA"
"2017-10-08","ADA",1406,4319,3118225,721.97846724,NA,"0.13399350957290046",NA,0.17107,NA,90.981593,NA,0,0,NA,0,NA,25.50755747,NA,NA,NA,NA,NA,"23345126574.214606",679,1200,"915223913.771122",NA,"8526550.06596314",NA,"2604037.829062",NA,"10231860079.155764",NA,NA,NA,NA,"2017-10-08 00:00:01","2017-10-08 00","2017-10-08 00ADA"
"2017-10-09","ADA",1460,4319,3124999,723.54688585,NA,"0.1291706838235287",NA,0.17107,NA,87.836065,NA,0,0,NA,0,NA,20.34374127,NA,NA,NA,NA,NA,"23606471353.378541",680,1172,"1160380042.332145",NA,"6875748.46366447",NA,"1497190.23544",NA,"8058377199.414759",NA,NA,NA,NA,"2017-10-09 00:00:01","2017-10-09 00","2017-10-09 00ADA"
"2017-10-10","ADA",1376,4319,2973712,688.51863857,NA,"0.12202512272727195",NA,0.17107,NA,80.536581,NA,0,0,NA,0,NA,16.54604287,NA,NA,NA,NA,NA,"23944240616.84196",660,1120,"1447127921.09564",NA,"8559530.39180188",NA,"2095835.606521",NA,"9586674038.8181",NA,NA,NA,NA,"2017-10-10 00:00:01","2017-10-10 00","2017-10-10 00ADA"
"2017-10-11","ADA",1172,4319,3061365,708.81338273,NA,"0.12665389587073544",NA,0.17107,NA,70.54622,NA,0,0,NA,0,NA,18.57284013,NA,NA,NA,NA,NA,"24198602477.29574",557,956,"1302902641.962377",NA,"7179457.53483871",NA,"1990037",NA,"6863561403.305807",NA,NA,NA,NA,"2017-10-11 00:00:01","2017-10-11 00","2017-10-11 00ADA"
"2017-10-12","ADA",1411,4320,2980765,689.99189815,NA,"0.12834358482142777",NA,0.17107,NA,86.246889,NA,0,0,NA,0,NA,17.39378832,NA,NA,NA,NA,NA,"24454434021.048851",672,1164,"1405929149.615939",NA,"7317206.77937862",NA,"2047767",NA,"8517228691.196718",NA,NA,NA,NA,"2017-10-12 00:00:01","2017-10-12 00","2017-10-12 00ADA"
