"symbol","model","eval_set","rmse","rsq","last_refreshed"
"ADA","lm","holdout",0.678080589589895,0.952174693859317,"2021-01-31 03:21:50"
"ADA","lm","test",2.50460352704526,0.45768422498031,"2021-01-31 03:21:50"
"ADA","nnet","holdout",1.69333959589929,0.0590915430540811,"2021-01-31 03:21:50"
"ADA","nnet","test",3.55296158406241,0.170655867260489,"2021-01-31 03:21:50"
"ADA","pcr","holdout",1.50893270425163,0.25620829362116,"2021-01-31 03:21:50"
"ADA","pcr","test",2.07921996325224,0.277246756727566,"2021-01-31 03:21:50"
"ADA","rf","holdout",2.43180152853036,0.131656655717586,"2021-01-31 03:21:50"
"ADA","rf","test",2.48342448221388,0.153442303670746,"2021-01-31 03:21:50"
"ADA","xgb","holdout",3.82215638343414,0.138332731478679,"2021-01-31 03:21:50"
"ADA","xgb","test",3.13502469068214,0.0842062246971956,"2021-01-31 03:21:50"
"AMB","lm","holdout",1.97344154442749,0.46703207328959,"2021-01-31 03:21:50"
"AMB","lm","test",19.2639986391332,0.0985162729851354,"2021-01-31 03:21:50"
"AMB","nnet","holdout",3.81595954740087,0.390901135732345,"2021-01-31 03:21:50"
"AMB","nnet","test",20.0820262020129,0.246707894165984,"2021-01-31 03:21:50"
"AMB","pcr","holdout",2.18289210739487,0.556540924370072,"2021-01-31 03:21:50"
"AMB","pcr","test",18.7262632703357,0.242033206916784,"2021-01-31 03:21:50"
"AMB","rf","holdout",2.82681359664984,0.0176778044333875,"2021-01-31 03:21:50"
"AMB","rf","test",19.1631495350177,0.265845265089478,"2021-01-31 03:21:50"
"AMB","xgb","holdout",4.0163212885124,0.0252640451619414,"2021-01-31 03:21:50"
"AMB","xgb","test",18.6074676058084,0.150097659936255,"2021-01-31 03:21:50"
"ARDR","lm","holdout",1.46367160065473,0.620083329945138,"2021-01-31 03:21:50"
"ARDR","lm","test",2.31404180740298,0.6559507443043,"2021-01-31 03:21:50"
"ARDR","nnet","holdout",1.94002182143261,0.0263661094656279,"2021-01-31 03:21:50"
"ARDR","nnet","test",3.74532729727028,0.114422589923146,"2021-01-31 03:21:50"
"ARDR","pcr","holdout",1.87974481067435,0.0951273269410098,"2021-01-31 03:21:50"
"ARDR","pcr","test",2.93764122779792,0.306329915424143,"2021-01-31 03:21:50"
"ARDR","rf","holdout",2.26352487479527,0.0126963750617048,"2021-01-31 03:21:50"
"ARDR","rf","test",3.74066027444913,0.0434277242422524,"2021-01-31 03:21:50"
"ARDR","xgb","holdout",3.45226341592114,0.0115228270730912,"2021-01-31 03:21:50"
"ARDR","xgb","test",5.65150885512914,0.00745544157174499,"2021-01-31 03:21:50"
"ASP","lm","holdout",3.14410897741028,0.555558276830629,"2021-01-31 03:21:50"
"ASP","lm","test",2.79764806519771,0.572644054857917,"2021-01-31 03:21:50"
"ASP","nnet","holdout",4.34698685770764,0.00869426149825939,"2021-01-31 03:21:50"
"ASP","nnet","test",11.2593365675469,0.18878226896342,"2021-01-31 03:21:50"
"ASP","pcr","holdout",3.96208113566236,0.114076781257353,"2021-01-31 03:21:50"
"ASP","pcr","test",3.27330198864644,0.377973833984034,"2021-01-31 03:21:50"
"ASP","rf","holdout",8.54709836526778,0.153559365309292,"2021-01-31 03:21:50"
"ASP","rf","test",5.14548511452556,0.0805467926154253,"2021-01-31 03:21:50"
"ASP","xgb","holdout",7.01336713489195,0.00466805440557991,"2021-01-31 03:21:50"
"ASP","xgb","test",6.27395000777584,0.0205542222507084,"2021-01-31 03:21:50"
"AVA","lm","holdout",1.09082899326843,0.580489656930117,"2021-01-31 03:21:50"
"AVA","lm","test",1.60496377789389,0.510152159519699,"2021-01-31 03:21:50"
"AVA","nnet","holdout",4.05644282276953,0.0514071234779341,"2021-01-31 03:21:50"
