"Date","Symbol","Open","High","Low","Close","VolumeUSDT","DateTime"
2017-09-02,"BTC",4885.55,4932.38,4850.01,4932.38,221048.32,"2017-09-02 01:00:00"
2017-09-02,"BTC",4932.38,4939.19,4837.49,4839.96,141223.66,"2017-09-02 02:00:00"
2017-09-02,"BTC",4839.96,4850,4764.88,4788.07,224432.55,"2017-09-02 03:00:00"
2017-09-02,"BTC",4788.07,4814.49,4765.01,4794.11,100254.73,"2017-09-02 04:00:00"
2017-09-02,"BTC",4794.11,4814.44,4473.35,4473.35,275034.21,"2017-09-02 05:00:00"
2017-09-02,"BTC",4473.35,4732.86,4473.35,4696.44,300600.21,"2017-09-02 06:00:00"
2017-09-02,"BTC",4696.44,4780,4652.13,4697.71,137793.64,"2017-09-02 07:00:00"
2017-09-02,"BTC",4697.71,4709.4,4549.78,4628.86,212771.45,"2017-09-02 08:00:00"
2017-09-02,"BTC",4628.86,4660.29,4549.77,4604.02,154839.93,"2017-09-02 09:00:00"
2017-09-02,"BTC",4604.02,4654.73,4556.71,4625.56,192610.81,"2017-09-02 10:00:00"
2017-09-02,"BTC",4625.56,4688.66,4617.95,4630.01,81326.29,"2017-09-02 11:00:00"
2017-09-02,"BTC",4834.91,4885.55,4784.43,4885.55,102715.64,"2017-09-02 12:00:00"
2017-09-02,"BTC",4580.33,4637.56,4569.65,4618.39,98897.8,"2017-09-02 13:00:00"
2017-09-02,"BTC",4618.39,4618.39,4418.22,4483.94,211054.4,"2017-09-02 14:00:00"
2017-09-02,"BTC",4483.94,4483.94,4354.61,4460.19,257691.57,"2017-09-02 15:00:00"
2017-09-02,"BTC",4460.19,4508.96,4377.43,4439,210622.23,"2017-09-02 16:00:00"
2017-09-02,"BTC",4439,4545.76,4377.44,4530.01,125487.73,"2017-09-02 17:00:00"
2017-09-02,"BTC",4530.01,4554.98,4480.81,4486.06,141048.17,"2017-09-02 18:00:00"
2017-09-02,"BTC",4486.06,4509.96,4428.66,4509.77,103691.3,"2017-09-02 19:00:00"
2017-09-02,"BTC",4509.77,4509.96,4286.87,4351.19,229007.05,"2017-09-02 20:00:00"
2017-09-02,"BTC",4351.19,4414.59,4286.87,4299.53,111788.8,"2017-09-02 21:00:00"
2017-09-02,"BTC",4299.53,4492.88,4299.47,4405,108270.74,"2017-09-02 22:00:00"
2017-09-02,"BTC",4405,4508.5,4392.72,4472.14,124142.33,"2017-09-02 23:00:00"
