"Date","Symbol","Open","High","Low","Close","VolumeUSDT","CloseLag1Hour","CloseLag12Hour","CloseLag24Hour","CloseLag3Day","CloseLag7Day","CloseLag14Day","CloseLag30Day","CloseLag90Day","CloseLag120Day","Volatility","Target24HourClose","DateTime"
2017-12-31,"ETH",701.91,710,697.59,701.02,2101864.27,670.15,676.38,710.01,738.5,625,702.2,421.72,302.88,384.47,1.7789819234794,717.97,"2017-12-31 01:00:00"
2017-12-31,"ETH",701.02,714.15,698,711.06,2051671.52,701.02,677.82,690,670,583,705.55,426.12,300.9,382.68,2.31375358166189,724.05,"2017-12-31 02:00:00"
2017-12-31,"ETH",711.08,712.18,683.68,697.98,1900145.02,711.06,673.27,691.1,695.94,636.88,711.06,426.01,301.46,378.52,4.16861689679382,734.5,"2017-12-31 03:00:00"
2017-12-31,"ETH",697.98,699.72,680,698.64,1995594.89,697.98,655.96,671.15,697.85,634.2,711,430.9,301.87,375.75,2.9,744.82,"2017-12-31 04:00:00"
2017-12-31,"ETH",698.64,705.99,688.2,690.6,1631923.43,698.64,685.01,695.65,674.06,649.78,712,422.09,303.55,347.61,2.5850043591979,748.99,"2017-12-31 05:00:00"
2017-12-31,"ETH",690.6,698.81,683.52,688.33,1911141.13,690.6,691.45,693.21,680,658.35,712,417.98,302.51,367.6,2.23694990636704,762.18,"2017-12-31 06:00:00"
2017-12-31,"ETH",688.33,699.5,685.31,697,1300044.69,688.33,700.98,707.01,687.52,639.01,712.99,418.8,302.38,363.7,2.07059578876714,751.99,"2017-12-31 07:00:00"
2017-12-31,"ETH",697,699.99,688.55,688.8,1678652.65,697,694.59,698.91,691,655.11,708.81,427.02,301.29,355.42,1.66146249364608,745,"2017-12-31 08:00:00"
2017-12-31,"ETH",688.8,694.19,682.16,688.32,1310711.61,688.8,699.08,699.01,683.7,623.96,711,432.02,302.18,351.6,1.76351589070014,753.21,"2017-12-31 09:00:00"
2017-12-31,"ETH",688.32,705,686.01,703.52,1635646.44,688.32,697.5,689,654,614.9,712.99,428.48,302.87,356.58,2.76818122184808,757.1,"2017-12-31 10:00:00"
2017-12-31,"ETH",703.52,712.5,701.78,709.89,1628999.3,703.52,681.06,698.19,668.79,591.1,712.12,433,300.41,357,1.52754424463507,741.01,"2017-12-31 11:00:00"
2017-12-31,"ETH",681.06,704.97,672.86,701.91,2788607.41,709.89,670.15,729.67,732.6,634.74,699.77,421.42,301.68,394.32,4.77216657254109,727.62,"2017-12-31 12:00:00"
2017-12-31,"ETH",713.99,725,709.98,719.01,1906377.05,701.91,701.02,676.38,688.61,617.21,706.69,456.32,299.01,353.09,2.11555255077608,738.93,"2017-12-31 13:00:00"
2017-12-31,"ETH",719.01,730.03,717.01,727.45,2367772.27,719.01,711.06,677.82,700.32,627.39,703.29,443.97,299,335.32,1.81587425558918,742.74,"2017-12-31 14:00:00"
2017-12-31,"ETH",727.45,727.46,711.1,720.03,2225450.86,727.45,697.98,673.27,701,609,704.53,446.66,300.8,341.72,2.30066094782731,748.8,"2017-12-31 15:00:00"
2017-12-31,"ETH",720.03,739.8,720.03,728.48,3658468.98,720.03,698.64,655.96,686,617.63,698.01,449.99,298.13,336.97,2.74571892837798,739.08,"2017-12-31 16:00:00"
2017-12-31,"ETH",728.48,738.99,723.92,733.01,1802514.43,728.48,690.6,685.01,698,610.3,705,447.68,295.46,341.63,2.08172173720854,737.02,"2017-12-31 17:00:00"
