"Date","Symbol","Open","High","Low","Close","VolumeUSDT","DateTime"
2018-01-01,"LTC",219.98,220.5,212.74,212.75,250979.28,"2018-01-01 01:00:00"
2018-01-01,"LTC",212.75,216.99,212.75,216.32,158310.06,"2018-01-01 02:00:00"
2018-01-01,"LTC",216.32,220.99,215.2,218.12,212066.73,"2018-01-01 03:00:00"
2018-01-01,"LTC",218.12,224.47,218.12,223.95,188017.95,"2018-01-01 04:00:00"
2018-01-01,"LTC",223.95,225.58,222.73,224.2,131491.65,"2018-01-01 05:00:00"
2018-01-01,"LTC",224.2,230.8,223.31,229.9,209598.64,"2018-01-01 06:00:00"
2018-01-01,"LTC",229.9,230,224.8,225.09,145540.34,"2018-01-01 07:00:00"
2018-01-01,"LTC",225.09,227,223,224.5,222175.72,"2018-01-01 08:00:00"
2018-01-01,"LTC",224.5,227.99,223.92,227.01,54479.35,"2018-01-01 09:00:00"
2018-01-01,"LTC",227.01,228.26,225.02,227.89,168620.41,"2018-01-01 10:00:00"
2018-01-01,"LTC",227.89,228.39,219.45,223.4,179127.57,"2018-01-01 11:00:00"
2018-01-01,"LTC",223.69,223.69,217.25,219.98,211589.29,"2018-01-01 12:00:00"
2018-01-01,"LTC",222.33,223.75,216.59,219,112817.6,"2018-01-01 13:00:00"
2018-01-01,"LTC",219,223.43,215.5,223.32,164713.08,"2018-01-01 14:00:00"
2018-01-01,"LTC",223.32,231.19,220.85,223.51,236115.98,"2018-01-01 15:00:00"
2018-01-01,"LTC",223.51,223.6,218.19,220,137065.63,"2018-01-01 16:00:00"
2018-01-01,"LTC",220,221.95,216.55,219.5,120299.13,"2018-01-01 17:00:00"
2018-01-01,"LTC",219.5,221.6,218,220,156500.04,"2018-01-01 18:00:00"
2018-01-01,"LTC",220,223.69,218.63,219.47,140898.71,"2018-01-01 19:00:00"
2018-01-01,"LTC",219.47,224,218.87,221.87,280902.62,"2018-01-01 20:00:00"
2018-01-01,"LTC",221.87,227,221.6,225.62,395486.03,"2018-01-01 21:00:00"
2018-01-01,"LTC",225.62,227.21,223.59,223.94,176424.2,"2018-01-01 22:00:00"
2018-01-01,"LTC",223.94,224.99,222.01,222.61,136993.38,"2018-01-01 23:00:00"
2018-01-01,"LTC",223.4,223.79,221.45,222.33,200479.4,"2018-01-02 00:00:00"
2018-01-02,"LTC",229.39,238.09,229.14,236.55,494648.3,"2018-01-02 01:00:00"
2018-01-02,"LTC",236.55,250.52,235.52,246,1693582.05,"2018-01-02 02:00:00"
2018-01-02,"LTC",246,248.74,231.09,238.81,1857503.62,"2018-01-02 03:00:00"
2018-01-02,"LTC",238.81,241.55,231.25,233.41,373530.03,"2018-01-02 04:00:00"
2018-01-02,"LTC",233.41,238.3,233.01,233.5,182456.64,"2018-01-02 05:00:00"
2018-01-02,"LTC",233.5,240,231.4,238.67,200970.03,"2018-01-02 06:00:00"
2018-01-02,"LTC",238.67,240,234.64,240,345511.54,"2018-01-02 07:00:00"
2018-01-02,"LTC",240,241.09,238.2,238.23,333570.72,"2018-01-02 08:00:00"
2018-01-02,"LTC",238.23,242.18,238.22,238.92,184517.03,"2018-01-02 09:00:00"
2018-01-02,"LTC",238.92,241.57,238.58,239.89,277133.21,"2018-01-02 10:00:00"
