"pair","symbol","quote_currency","ask_1_price","ask_1_quantity","ask_2_price","ask_2_quantity","ask_3_price","ask_3_quantity","ask_4_price","ask_4_quantity","ask_5_price","ask_5_quantity","bid_1_price","bid_1_quantity","bid_2_price","bid_2_quantity","bid_3_price","bid_3_quantity","bid_4_price","bid_4_quantity","bid_5_price","bid_5_quantity","date_time_utc","date","pkDummy","pkey"
"BTCUSD","BTC","USD","10923.35","0.75000","10923.36","0.06265","10923.37","0.11950","10923.38","0.18003","10923.39","0.08683","10923.18","0.06200","10922.09","0.30400","10920.18","0.31212","10920.17","0.10000","10920.15","0.10000","2020-09-21 00:00:07","2020-09-21","2020-09-21 00","2020-09-21 00BTC"
"LTCUSD","LTC","USD","47.0769","3.750","47.0773","60.000","47.0899","13.870","47.0900","7.645","47.0902","10.000","47.0682","9.526","47.0608","3.750","47.0524","15.337","47.0456","1.000","47.0455","8.335","2020-09-21 00:00:20","2020-09-21","2020-09-21 00","2020-09-21 00LTC"
"XMRUSD","XMR","USD","92.6357","0.750","92.6358","1.500","92.6677","7.678","92.6678","3.200","92.7999","1.000","92.5800","0.013","92.5401","0.750","92.5400","1.500","92.5027","9.334","92.5026","6.141","2020-09-21 00:00:44","2020-09-21","2020-09-21 00","2020-09-21 00XMR"
"ETHUSD","ETH","USD","370.471","30.0000","370.482","0.4000","370.504","5.8932","370.540","3.9701","370.541","30.0000","370.394","0.4000","370.303","7.5000","370.302","4.2363","370.298","2.7944","370.272","1.0800","2020-09-21 00:00:45","2020-09-21","2020-09-21 00","2020-09-21 00ETH"
"EOSUSD","EOS","USD","2.66777","19.76","2.66778","75.48","2.66788","600.00","2.66801","685.72","2.66802","200.00","2.66601","40.89","2.66563","120.31","2.66562","561.92","2.66539","70.00","2.66527","408.89","2020-09-21 00:01:53","2020-09-21","2020-09-21 00","2020-09-21 00EOS"
"XTZUSD","XTZ","USD","2.215710","49.3","2.215739","507.5","2.216887","1734.0","2.219649","380.0","2.220576","3328.4","2.212400","3000.0","2.208320","49.3","2.208159","507.6","2.200235","380.0","2.192771","380.0","2020-09-21 00:01:57","2020-09-21","2020-09-21 00","2020-09-21 00XTZ"
"BNBUSD","BNB","USD","26.01461","84.10","26.01462","4.87","26.04165","215.29","26.04927","100.00","26.05713","200.00","25.89512","84.04","25.89511","4.87","25.86546","215.26","25.84745","100.00","25.83252","210.00","2020-09-21 00:02:42","2020-09-21","2020-09-21 00","2020-09-21 00BNB"
"NEOUSD","NEO","USD","23.50331","92.85","23.50332","92.81","23.50333","4.64","23.50616","17.41","23.51251","46.44","23.44166","55.18","23.44165","29.50","23.43862","46.39","23.43861","4.64","23.43431","18.57","2020-09-21 00:03:33","2020-09-21","2020-09-21 00","2020-09-21 00NEO"
"TRXUSD","TRX","USD","0.0269432","600","0.0269433","55724","0.0269434","81036","0.0269435","81025","0.0269436","80998","0.0269054","1050","0.0269048","22720","0.0269047","8096","0.0269017","36920","0.0269016","40545","2020-09-21 00:04:05","2020-09-21","2020-09-21 00","2020-09-21 00TRX"
"BCHUSD","BCH","USD","225.687","28.0292","225.689","18.0000","225.727","9.6706","225.728","4.8368","225.732","1.9345","225.667","0.3600","225.602","18.0000","225.567","0.6200","225.560","13.2262","225.531","9.6695","2020-09-21 00:04:10","2020-09-21","2020-09-21 00","2020-09-21 00BCH"
