"date","symbol","exchange","price_usd","daily_open_usd","daily_high_usd","daily_low_usd","volume","change_percent","date_time_utc","pk_dummy","pkey"
"2020-02-12","EOS","HitBTC","53489","52537","54584","52516",958,1.96,"2020-02-12 00:00:00","2020-02-12 00","2020-02-12 00EOS"
"2020-02-11","EOS","HitBTC","52460","49019","52987","47988",1026,7.1,"2020-02-11 00:00:00","2020-02-11 00","2020-02-11 00EOS"
"2020-02-10","EOS","HitBTC","48984","50116","50306","47385",1077,-2.24,"2020-02-10 00:00:00","2020-02-10 00","2020-02-10 00EOS"
"2020-02-09","EOS","HitBTC","50104","47611","50439","47611",1157,5.23,"2020-02-09 00:00:00","2020-02-09 00","2020-02-09 00EOS"
"2020-02-08","EOS","HitBTC","47611","45919","48477","44305",1149,3.59,"2020-02-08 00:00:00","2020-02-08 00","2020-02-08 00EOS"
"2020-02-07","EOS","HitBTC","45964","46015","46990","45269",1037,-0.09,"2020-02-07 00:00:00","2020-02-07 00","2020-02-07 00EOS"
"2020-02-06","EOS","HitBTC","46003","45313","46667","44534",1259,1.52,"2020-02-06 00:00:00","2020-02-06 00","2020-02-06 00EOS"
"2020-02-05","EOS","HitBTC","45314","42255","45859","41769",1010,7.24,"2020-02-05 00:00:00","2020-02-05 00","2020-02-05 00EOS"
"2020-02-04","EOS","HitBTC","42255","42060","42734","40642",904,0.61,"2020-02-04 00:00:00","2020-02-04 00","2020-02-04 00EOS"
"2020-02-03","EOS","HitBTC","41999","42115","43700","41400",809,-0.27,"2020-02-03 00:00:00","2020-02-03 00","2020-02-03 00EOS"
"2020-02-02","EOS","HitBTC","42111","41526","43237","40459",771,1.41,"2020-02-02 00:00:00","2020-02-02 00","2020-02-02 00EOS"
"2020-02-01","EOS","HitBTC","41526","41448","42614","40687",924,0.12,"2020-02-01 00:00:00","2020-02-01 00","2020-02-01 00EOS"
"2020-01-31","EOS","HitBTC","41477","43229","43684","40249",1731,-4.09,"2020-01-31 00:00:00","2020-01-31 00","2020-01-31 00EOS"
"2020-01-30","EOS","HitBTC","43247","39665","43992","38929",1798,8.83,"2020-01-30 00:00:00","2020-01-30 00","2020-01-30 00EOS"
"2020-01-29","EOS","HitBTC","39737","40353","41104","39611",1392,-1.61,"2020-01-29 00:00:00","2020-01-29 00","2020-01-29 00EOS"
"2020-01-28","EOS","HitBTC","40387","39656","41261","38894",1918,1.88,"2020-01-28 00:00:00","2020-01-28 00","2020-01-28 00EOS"
"2020-01-27","EOS","HitBTC","39643","36504","40540","36466",1669,8.65,"2020-01-27 00:00:00","2020-01-27 00","2020-01-27 00EOS"
"2020-01-26","EOS","HitBTC","36488","34642","36632","34366",933,4.13,"2020-01-26 00:00:00","2020-01-26 00","2020-01-26 00EOS"
"2020-01-25","EOS","HitBTC","35042","36338","36338","35042",1187,-3.57,"2020-01-25 00:00:00","2020-01-25 00","2020-01-25 00EOS"
"2020-01-24","EOS","HitBTC","36338","35740","37020","33553",1347,1.72,"2020-01-24 00:00:00","2020-01-24 00","2020-01-24 00EOS"
"2020-01-23","EOS","HitBTC","35724","36551","36551","35001",1092,-2.22,"2020-01-23 00:00:00","2020-01-23 00","2020-01-23 00EOS"
"2020-01-22","EOS","HitBTC","36536","36570","37413","35923",927,-0.09,"2020-01-22 00:00:00","2020-01-22 00","2020-01-22 00EOS"
"2020-01-21","EOS","HitBTC","36570","36212","36851","35578",1126,1.1,"2020-01-21 00:00:00","2020-01-21 00","2020-01-21 00EOS"
"2020-01-20","EOS","HitBTC","36172","36126","36995","34922",1605,0.06,"2020-01-20 00:00:00","2020-01-20 00","2020-01-20 00EOS"
"2020-01-19","EOS","HitBTC","36150","38033","39417","34451",2149,-5.07,"2020-01-19 00:00:00","2020-01-19 00","2020-01-19 00EOS"
"2020-01-18","EOS","HitBTC","38082","38999","40054","37100",2682,-2.7,"2020-01-18 00:00:00","2020-01-18 00","2020-01-18 00EOS"
