"date","symbol","exchange","price_usd","daily_open_usd","daily_high_usd","daily_low_usd","volume","change_percent","date_time_utc","pk_dummy","pkey"
"2020-02-12","ETH","Poloniex",26590,23674,26700,23674,4424,12.32,"2020-02-12 00:00:00","2020-02-12 00","2020-02-12 00ETH"
"2020-02-11","ETH","Poloniex",23674,22299,23915,21820,5159,6.16,"2020-02-11 00:00:00","2020-02-11 00","2020-02-11 00ETH"
"2020-02-10","ETH","Poloniex",22299,22866,22940,21625,3530,-2.48,"2020-02-10 00:00:00","2020-02-10 00","2020-02-10 00ETH"
"2020-02-09","ETH","Poloniex",22866,22317,23057,22300,3701,2.46,"2020-02-09 00:00:00","2020-02-09 00","2020-02-09 00ETH"
"2020-02-08","ETH","Poloniex",22317,22350,22765,21360,3841,-0.15,"2020-02-08 00:00:00","2020-02-08 00","2020-02-08 00ETH"
"2020-02-07","ETH","Poloniex",22350,21319,22476,21317,4885,4.83,"2020-02-07 00:00:00","2020-02-07 00","2020-02-07 00ETH"
"2020-02-06","ETH","Poloniex",21319,20372,21630,20112,7894,4.63,"2020-02-06 00:00:00","2020-02-06 00","2020-02-06 00ETH"
"2020-02-05","ETH","Poloniex",20375,18894,20753,18823,6798,7.84,"2020-02-05 00:00:00","2020-02-05 00","2020-02-05 00ETH"
"2020-02-04","ETH","Poloniex",18894,18982,19157,18472,6068,-0.46,"2020-02-04 00:00:00","2020-02-04 00","2020-02-04 00ETH"
"2020-02-03","ETH","Poloniex",18982,18847,19515,18682,6429,0.72,"2020-02-03 00:00:00","2020-02-03 00","2020-02-03 00ETH"
"2020-02-02","ETH","Poloniex",18847,18368,19343,17932,7088,2.61,"2020-02-02 00:00:00","2020-02-02 00","2020-02-02 00ETH"
"2020-02-01","ETH","Poloniex",18368,17998,18425,17930,5254,2.06,"2020-02-01 00:00:00","2020-02-01 00","2020-02-01 00ETH"
"2020-01-31","ETH","Poloniex",17998,18472,18580,17529,6014,-2.57,"2020-01-31 00:00:00","2020-01-31 00","2020-01-31 00ETH"
"2020-01-30","ETH","Poloniex",18472,17384,18695,17090,6958,6.26,"2020-01-30 00:00:00","2020-01-30 00","2020-01-30 00ETH"
"2020-01-29","ETH","Poloniex",17384,17566,17843,17339,5784,-1.11,"2020-01-29 00:00:00","2020-01-29 00","2020-01-29 00ETH"
"2020-01-28","ETH","Poloniex",17580,17003,17615,17000,7398,3.4,"2020-01-28 00:00:00","2020-01-28 00","2020-01-28 00ETH"
