path:
- https://github.com/predictcrypto/pins/releases/download/reprex_bitgur_500-4128918/data.csv
- https://github.com/predictcrypto/pins/releases/download/reprex_bitgur_500-4128918/data.rds
rows: 3946313
cols: 19
columns:
  Index: numeric
  BITEX: numeric
  Rank: integer
  Name: character
  Symbol: character
  Price: numeric
  Performance15min: numeric
  Performance1h: numeric
  Performance3h: numeric
  Performance1d: numeric
  Performance7d: numeric
  Performance1m: numeric
  Performance3m: numeric
  Performance6m: numeric
  Volatility: numeric
  Date: character
  pkDummy: character
  DateTime: POSIXct
  pkey: character
type: table
