"Index","BITEX","Rank","Name","Symbol","Price","Performance15min","Performance1h","Performance3h","Performance1d","Performance7d","Performance1m","Performance3m","Performance6m","Volatility","Date","pkDummy","DateTime","pkey"
23.11,68.92,1,"Bitcoin","BTC",9322.6,0.19,-0.38,0.6,-0.06,-1.06,12.93,-21.01,61.82,19.09,"2019-11-05","2019-11-05 16","2019-11-05 09:10:04","2019-11-05 16BTC"
23.24,69.2,1,"Bitcoin","BTC",9385.1,0.18,0.16,0.31,0.3,-0.4,13.69,-20.48,62.9,18.36,"2019-11-05","2019-11-05 17","2019-11-05 10:23:27","2019-11-05 17BTC"
22.97,69.14,1,"Bitcoin","BTC",9365.3,0.02,0.04,-0.15,0.86,-0.61,13.45,-20.65,62.56,17.99,"2019-11-05","2019-11-05 18","2019-11-05 11:29:39","2019-11-05 18BTC"
22.63,69.05,1,"Bitcoin","BTC",9365.5,0.07,0.03,-0.05,0.85,-0.6,13.45,-20.65,62.56,17.64,"2019-11-05","2019-11-05 19","2019-11-05 12:24:37","2019-11-05 19BTC"
22.32,68.92,1,"Bitcoin","BTC",9374.9,0.29,-0.39,0.14,-0.89,-0.51,13.56,-20.57,62.73,17.31,"2019-11-05","2019-11-05 20","2019-11-05 13:23:31","2019-11-05 20BTC"
21.94,69.15,1,"Bitcoin","BTC",9375.9,0.01,0.01,0.14,-0.71,-0.49,13.57,-20.56,62.74,16.96,"2019-11-05","2019-11-05 21","2019-11-05 14:23:59","2019-11-05 21BTC"
21.61,68.78,1,"Bitcoin","BTC",9327,-0.53,-0.75,-0.9,-0.6,-1.01,12.98,-20.97,61.9,16.65,"2019-11-05","2019-11-05 22","2019-11-05 15:22:42","2019-11-05 22BTC"
21.17,69.03,1,"Bitcoin","BTC",9351.6,0.12,-0.05,-0.25,-0.79,-0.75,13.28,-20.77,62.32,16.22,"2019-11-05","2019-11-05 23","2019-11-05 16:25:29","2019-11-05 23BTC"
20.79,68.72,1,"Bitcoin","BTC",9315.9,-0.02,0.02,-0.87,-0.74,1.57,18.23,-18.81,62.69,15.83,"2019-11-06","2019-11-06 00","2019-11-05 17:22:56","2019-11-06 00BTC"
20.41,68.52,1,"Bitcoin","BTC",9289.8,-0.19,-0.11,-0.71,-1.7,1.29,17.89,-19.04,62.24,15.56,"2019-11-06","2019-11-06 01","2019-11-05 18:19:45","2019-11-06 01BTC"
20.19,68.73,1,"Bitcoin","BTC",9313.8,0,0,0,-1.44,1.55,18.2,-18.83,62.66,15.41,"2019-11-06","2019-11-06 02","2019-11-05 19:14:55","2019-11-06 02BTC"
19.75,68.76,1,"Bitcoin","BTC",9308.3,-0.1,-0.77,0.09,-1.42,1.49,18.13,-18.88,62.56,14.99,"2019-11-06","2019-11-06 03","2019-11-05 20:15:52","2019-11-06 03BTC"
19.36,68.76,1,"Bitcoin","BTC",9327.6,0.28,-0.1,0.15,-1.05,1.7,18.37,-18.71,62.9,14.62,"2019-11-06","2019-11-06 04","2019-11-05 21:13:38","2019-11-06 04BTC"
19.8,68.9,1,"Bitcoin","BTC",9332.4,-0.06,-0.06,-0.51,-0.93,1.75,18.43,-18.67,62.98,14.24,"2019-11-06","2019-11-06 05","2019-11-05 22:17:30","2019-11-06 05BTC"
20.3,69.04,1,"Bitcoin","BTC",9328.3,-0.22,-0.24,-0.09,0.07,1.71,18.38,-18.71,62.91,13.94,"2019-11-06","2019-11-06 06","2019-11-05 23:19:23","2019-11-06 06BTC"
20.35,69.27,1,"Bitcoin","BTC",9383.3,-0.08,-0.13,0.49,1.55,2.31,19.08,-18.23,63.87,13.68,"2019-11-06","2019-11-06 07","2019-11-06 00:16:49","2019-11-06 07BTC"
20.36,69.38,1,"Bitcoin","BTC",9397.1,-0.1,-0.25,0.5,0.88,2.46,19.26,-18.11,64.11,13.77,"2019-11-06","2019-11-06 08","2019-11-06 01:17:52","2019-11-06 08BTC"
20.35,69.42,1,"Bitcoin","BTC",9386.1,-0.15,-0.2,-0.1,0.48,2.34,19.12,-18.2,63.92,13.61,"2019-11-06","2019-11-06 09","2019-11-06 02:19:46","2019-11-06 09BTC"
20.09,69.05,1,"Bitcoin","BTC",9358.5,-0.1,-0.06,-0.66,0.77,2.04,18.77,-18.44,63.44,13.4,"2019-11-06","2019-11-06 10","2019-11-06 03:12:38","2019-11-06 10BTC"
19.7,69.07,1,"Bitcoin","BTC",9361.1,-0.02,-0.03,-0.47,0.62,2.07,18.8,-18.42,63.48,13.13,"2019-11-06","2019-11-06 11","2019-11-06 04:15:25","2019-11-06 11BTC"
19.39,69.2,1,"Bitcoin","BTC",9378.6,-0.17,-0.14,0.15,0.63,2.26,19.02,-18.27,63.79,12.91,"2019-11-06","2019-11-06 12","2019-11-06 05:16:26","2019-11-06 12BTC"
18.98,69.03,1,"Bitcoin","BTC",9358,-0.04,-0.15,-0.06,0.99,2.03,18.76,-18.45,63.43,12.63,"2019-11-06","2019-11-06 13","2019-11-06 06:19:41","2019-11-06 13BTC"
18.55,68.89,1,"Bitcoin","BTC",9335.7,0.13,0.05,-0.59,-0.22,1.79,18.48,-18.64,63.04,12.31,"2019-11-06","2019-11-06 14","2019-11-06 07:22:00","2019-11-06 14BTC"
18.17,68.99,1,"Bitcoin","BTC",9347.6,0.15,0.14,-0.26,-0.34,1.92,18.63,-18.54,63.25,12.02,"2019-11-06","2019-11-06 15","2019-11-06 08:19:26","2019-11-06 15BTC"
17.75,68.79,1,"Bitcoin","BTC",9318.6,-0.17,-0.31,-0.14,-0.55,1.6,18.26,-18.79,62.74,11.7,"2019-11-06","2019-11-06 16","2019-11-06 09:24:30","2019-11-06 16BTC"
17.34,68.72,1,"Bitcoin","BTC",9318.5,0.01,-0.04,-0.18,-0.46,1.6,18.26,-18.79,62.74,11.4,"2019-11-06","2019-11-06 17","2019-11-06 10:24:28","2019-11-06 17BTC"
17.16,68.54,1,"Bitcoin","BTC",9315.3,0.26,0.24,-0.34,-0.5,1.57,18.22,-18.82,62.68,11.18,"2019-11-06","2019-11-06 18","2019-11-06 11:24:58","2019-11-06 18BTC"
17.22,68.78,1,"Bitcoin","BTC",9313.3,-0.06,-0.29,-0.09,-1.04,1.55,18.19,-18.84,62.65,10.95,"2019-11-06","2019-11-06 19","2019-11-06 12:20:20","2019-11-06 19BTC"
17.16,68.77,1,"Bitcoin","BTC",9322.4,0.06,-0.26,0.31,-0.56,1.65,18.31,-18.76,62.81,10.69,"2019-11-06","2019-11-06 20","2019-11-06 13:19:13","2019-11-06 20BTC"
17.96,68.88,1,"Bitcoin","BTC",9314.6,-0.02,0.02,-0.28,-0.89,1.56,18.21,-18.83,62.67,11.85,"2019-11-06","2019-11-06 21","2019-11-06 14:19:45","2019-11-06 21BTC"
19.15,69.17,1,"Bitcoin","BTC",9330.9,0.2,0.14,-0.15,-0.25,1.76,18.44,-18.67,62.98,11.53,"2019-11-06","2019-11-06 22","2019-11-06 15:18:10","2019-11-06 22BTC"
20.86,69.27,1,"Bitcoin","BTC",9358.8,0.06,0.08,0.49,0.48,2.04,18.77,-18.44,63.44,14.09,"2019-11-06","2019-11-06 23","2019-11-06 16:20:55","2019-11-06 23BTC"
20.53,69.09,1,"Bitcoin","BTC",9327.6,-0.24,-0.17,0.08,0.29,1.71,13.45,-21.93,61.91,13.83,"2019-11-07","2019-11-07 00","2019-11-06 17:16:27","2019-11-07 00BTC"
20.4,69.25,1,"Bitcoin","BTC",9351.1,NA,NA,NA,0.14,1.97,13.74,-21.74,62.32,13.58,"2019-11-07","2019-11-07 04","2019-11-06 21:26:24","2019-11-07 04BTC"
20.38,68.83,1,"Bitcoin","BTC",9315.3,NA,0.04,-0.26,-0.38,1.58,13.3,-22.03,61.7,13.58,"2019-11-07","2019-11-07 05","2019-11-06 22:15:26","2019-11-07 05BTC"
