"index","bitex","rank","name","symbol","price","performance15min","performance1h","performance3h","performance1d","performance7d","performance1m","performance3m","performance6m","volatility","date","pk_dummy","date_time","pkey"
23.11,68.92,2,"Ethereum","ETH",191.03,1.34,1.02,2.32,2.37,0.24,7.89,-18.05,17.61,30.4,2019-11-05,"2019-11-05 16","2019-11-05 09:09:55","2019-11-05 16ETH"
23.24,69.2,2,"Ethereum","ETH",189.82,-0.06,0.22,0.21,1.73,-0.39,7.21,-18.57,16.87,32.14,2019-11-05,"2019-11-05 17","2019-11-05 10:23:28","2019-11-05 17ETH"
22.97,69.14,2,"Ethereum","ETH",190.41,0.53,0.27,0.05,2.26,-0.08,7.54,-18.32,17.23,31.89,2019-11-05,"2019-11-05 18","2019-11-05 11:29:40","2019-11-05 18ETH"
22.63,69.05,2,"Ethereum","ETH",189.84,-0.01,0.12,0.24,2.15,-0.38,7.22,-18.56,16.88,31.6,2019-11-05,"2019-11-05 19","2019-11-05 12:24:38","2019-11-05 19ETH"
22.32,68.92,2,"Ethereum","ETH",189.93,0.08,-0.01,0.02,1.74,-0.33,7.27,-18.52,16.94,31.29,2019-11-05,"2019-11-05 20","2019-11-05 13:23:32","2019-11-05 20ETH"
21.94,69.15,2,"Ethereum","ETH",189.8,0.04,0.37,0.09,1.98,-0.4,7.2,-18.58,16.85,30.96,2019-11-05,"2019-11-05 21","2019-11-05 14:23:59","2019-11-05 21ETH"
21.61,68.78,2,"Ethereum","ETH",188.6,-0.34,-0.26,-0.72,1.61,-1.03,6.52,-19.1,16.12,30.64,2019-11-05,"2019-11-05 22","2019-11-05 15:22:45","2019-11-05 22ETH"
21.17,69.03,2,"Ethereum","ETH",189.29,0.18,0.43,0.1,1.69,-0.67,6.91,-18.8,16.54,30.21,2019-11-05,"2019-11-05 23","2019-11-05 16:25:29","2019-11-05 23ETH"
20.79,68.72,2,"Ethereum","ETH",188.92,-0.04,0.07,-0.09,1.82,3.01,10.83,-16.45,9.99,29.87,2019-11-06,"2019-11-06 00","2019-11-05 17:22:47","2019-11-06 00ETH"
20.41,68.52,2,"Ethereum","ETH",187.98,-0.12,-0.14,-0.26,0.64,2.5,10.28,-16.86,9.44,29.46,2019-11-06,"2019-11-06 01","2019-11-05 18:19:45","2019-11-06 01ETH"
20.19,68.73,2,"Ethereum","ETH",189.87,0.45,0.45,0.57,1.84,3.53,11.39,-16.03,10.54,29.08,2019-11-06,"2019-11-06 02","2019-11-05 19:14:57","2019-11-06 02ETH"
19.75,68.76,2,"Ethereum","ETH",189.6,-0.02,-0.06,0.72,1.98,3.38,11.23,-16.15,10.38,28.83,2019-11-06,"2019-11-06 03","2019-11-05 20:15:52","2019-11-06 03ETH"
19.36,68.76,2,"Ethereum","ETH",189.92,0.22,0.2,0.47,2.27,3.55,11.42,-16.01,10.57,28.54,2019-11-06,"2019-11-06 04","2019-11-05 21:13:40","2019-11-06 04ETH"
19.8,68.9,2,"Ethereum","ETH",190.79,-0.26,-0.26,0.56,2.81,4.03,11.93,-15.62,11.07,28.4,2019-11-06,"2019-11-06 05","2019-11-05 22:17:33","2019-11-06 05ETH"
20.3,69.04,2,"Ethereum","ETH",192.58,0.17,-0.01,1.61,4.4,5.01,12.98,-14.83,12.12,34.07,2019-11-06,"2019-11-06 06","2019-11-05 23:19:23","2019-11-06 06ETH"
20.35,69.27,2,"Ethereum","ETH",192.53,-0.78,-0.38,0.66,4.88,4.98,12.95,-14.85,12.09,37.19,2019-11-06,"2019-11-06 07","2019-11-06 00:16:49","2019-11-06 07ETH"
20.36,69.38,2,"Ethereum","ETH",192.46,-0.1,-0.09,-0.07,4.89,4.94,12.91,-14.88,12.05,36.98,2019-11-06,"2019-11-06 08","2019-11-06 01:17:53","2019-11-06 08ETH"
20.35,69.42,2,"Ethereum","ETH",192.54,-0.11,-0.09,-0.37,3.61,4.99,12.96,-14.85,12.1,36.72,2019-11-06,"2019-11-06 09","2019-11-06 02:19:48","2019-11-06 09ETH"
20.09,69.05,2,"Ethereum","ETH",191.05,-0.06,-0.05,-0.83,3.32,4.17,12.08,-15.51,11.22,36.36,2019-11-06,"2019-11-06 10","2019-11-06 03:12:30","2019-11-06 10ETH"
19.7,69.07,2,"Ethereum","ETH",190.5,0.03,0,-1.14,2.6,3.87,11.76,-15.75,10.91,35.79,2019-11-06,"2019-11-06 11","2019-11-06 04:15:25","2019-11-06 11ETH"
19.39,69.2,2,"Ethereum","ETH",190.35,-0.44,-0.23,-0.41,1.67,3.79,11.67,-15.82,10.82,35.21,2019-11-06,"2019-11-06 12","2019-11-06 05:16:28","2019-11-06 12ETH"
18.98,69.03,2,"Ethereum","ETH",190.22,-0.04,-0.03,-0.15,1.88,3.72,11.59,-15.87,10.75,34.54,2019-11-06,"2019-11-06 13","2019-11-06 06:19:42","2019-11-06 13ETH"
18.55,68.89,2,"Ethereum","ETH",190.35,0.31,0.48,-0.24,0.49,3.79,11.67,-15.82,10.82,33.86,2019-11-06,"2019-11-06 14","2019-11-06 07:22:14","2019-11-06 14ETH"
18.17,68.99,2,"Ethereum","ETH",190.01,0.1,0.03,-0.14,-0.16,3.61,11.47,-15.96,10.62,33.29,2019-11-06,"2019-11-06 15","2019-11-06 08:19:27","2019-11-06 15ETH"
17.75,68.79,2,"Ethereum","ETH",189.8,-0.08,-0.35,0.19,0.22,3.49,11.35,-16.06,10.5,32.62,2019-11-06,"2019-11-06 16","2019-11-06 09:24:30","2019-11-06 16ETH"
17.34,68.72,2,"Ethereum","ETH",188.76,-0.19,-0.25,-0.63,-0.59,2.93,10.74,-16.52,9.9,31.87,2019-11-06,"2019-11-06 17","2019-11-06 10:24:29","2019-11-06 17ETH"
17.16,68.54,2,"Ethereum","ETH",189.5,0.16,-0.09,-0.51,-0.06,3.33,11.17,-16.19,10.32,31.19,2019-11-06,"2019-11-06 18","2019-11-06 11:24:58","2019-11-06 18ETH"
17.22,68.78,2,"Ethereum","ETH",190.07,0.09,-0.04,0.44,0.06,3.64,11.51,-15.94,10.66,30.65,2019-11-06,"2019-11-06 19","2019-11-06 12:20:20","2019-11-06 19ETH"
17.16,68.77,2,"Ethereum","ETH",188.69,-0.46,-0.53,-0.51,-0.21,2.89,10.7,-16.55,9.85,30.07,2019-11-06,"2019-11-06 20","2019-11-06 13:19:13","2019-11-06 20ETH"
17.96,68.88,2,"Ethereum","ETH",190.25,0.54,0.52,0.05,0.61,3.74,11.61,-15.86,10.76,29.39,2019-11-06,"2019-11-06 21","2019-11-06 14:19:50","2019-11-06 21ETH"
19.15,69.17,2,"Ethereum","ETH",191.25,0.39,0.38,0.82,1.47,4.28,12.2,-15.42,11.35,28.95,2019-11-06,"2019-11-06 22","2019-11-06 15:18:11","2019-11-06 22ETH"
20.86,69.27,2,"Ethereum","ETH",191.92,0.11,0.19,1.4,1.66,4.65,12.59,-15.12,11.74,28.56,2019-11-06,"2019-11-06 23","2019-11-06 16:20:56","2019-11-06 23ETH"
20.53,69.09,2,"Ethereum","ETH",191.07,-0.13,-0.1,0.28,1.5,4.9,6.07,-15.32,14.56,28.32,2019-11-07,"2019-11-07 00","2019-11-06 17:16:27","2019-11-07 00ETH"
20.4,69.25,2,"Ethereum","ETH",191.19,NA,NA,NA,-0.05,4.96,6.14,-15.26,14.63,28.05,2019-11-07,"2019-11-07 04","2019-11-06 21:26:25","2019-11-07 04ETH"
20.38,68.83,2,"Ethereum","ETH",189.08,NA,0.04,-0.09,-1.88,3.74,4.9,-16.25,13.3,28.05,2019-11-07,"2019-11-07 05","2019-11-06 22:15:26","2019-11-07 05ETH"
20.34,68.61,2,"Ethereum","ETH",189.43,-0.16,0,0.29,-1.98,3.99,5.16,-16.04,13.57,28.05,2019-11-07,"2019-11-07 06","2019-11-06 23:20:00","2019-11-07 06ETH"
20.35,68.64,2,"Ethereum","ETH",189.24,-0.01,0.09,0.02,-1.77,3.89,5.05,-16.13,13.46,28.05,2019-11-07,"2019-11-07 07","2019-11-07 00:17:55","2019-11-07 07ETH"
20.36,68.36,2,"Ethereum","ETH",188.63,-0.11,-0.15,-0.43,-2.12,3.55,4.72,-16.4,13.09,28.05,2019-11-07,"2019-11-07 08","2019-11-07 01:15:00","2019-11-07 08ETH"
17.7,68.28,2,"Ethereum","ETH",187.85,-0.31,-0.3,-0.64,-1.72,3.13,4.28,-16.74,12.63,24.89,2019-11-07,"2019-11-07 09","2019-11-07 02:14:26","2019-11-07 09ETH"
19.81,67.63,2,"Ethereum","ETH",185.8,-0.74,-0.71,-1.65,-2.47,2,3.14,-17.65,11.4,22.56,2019-11-07,"2019-11-07 10","2019-11-07 03:14:54","2019-11-07 10ETH"
21.97,67.86,2,"Ethereum","ETH",187.08,-0.08,-0.19,-0.71,-1.95,2.7,3.86,-17.08,12.16,22.13,2019-11-07,"2019-11-07 11","2019-11-07 04:14:13","2019-11-07 11ETH"
21.66,67.91,2,"Ethereum","ETH",186.93,0.18,-0.09,-0.1,-1.76,2.62,3.77,-17.15,12.08,21.54,2019-11-07,"2019-11-07 12","2019-11-07 05:18:20","2019-11-07 12ETH"
21.42,67.87,2,"Ethereum","ETH",186.86,0.33,0.13,-0.31,-1.36,2.58,3.73,-17.18,12.03,21.1,2019-11-07,"2019-11-07 13","2019-11-07 06:21:31","2019-11-07 13ETH"
21.11,67.81,2,"Ethereum","ETH",187,-0.13,-0.08,-0.05,-1.56,2.66,3.81,-17.12,12.12,20.66,2019-11-07,"2019-11-07 14","2019-11-07 07:17:27","2019-11-07 14ETH"
20.84,68.03,2,"Ethereum","ETH",186.83,0.04,-0.1,0.12,-1.91,2.57,3.72,-17.2,12.02,20.23,2019-11-07,"2019-11-07 15","2019-11-07 08:17:08","2019-11-07 15ETH"
20.57,67.89,2,"Ethereum","ETH",186.77,0.44,0.47,-0.2,-1.3,2.54,3.68,-17.22,11.98,19.87,2019-11-07,"2019-11-07 16","2019-11-07 09:20:27","2019-11-07 16ETH"
20.34,67.92,2,"Ethereum","ETH",186.19,-0.19,-0.16,-0.44,-1.83,2.22,3.36,-17.48,11.63,19.49,2019-11-07,"2019-11-07 17","2019-11-07 10:18:53","2019-11-07 17ETH"
20.09,67.79,2,"Ethereum","ETH",185.82,0.24,0.05,-0.05,-2.28,2.01,3.15,-17.65,11.41,19.17,2019-11-07,"2019-11-07 18","2019-11-07 11:21:40","2019-11-07 18ETH"
19.9,67.93,2,"Ethereum","ETH",186.62,0.05,0.15,0.06,-1.62,2.45,3.6,-17.29,11.89,18.83,2019-11-07,"2019-11-07 19","2019-11-07 12:19:31","2019-11-07 19ETH"
19.64,67.88,2,"Ethereum","ETH",186.07,-0.26,-0.4,0.19,-1.69,2.15,3.29,-17.53,11.56,18.43,2019-11-07,"2019-11-07 20","2019-11-07 13:20:40","2019-11-07 20ETH"
19.33,67.81,2,"Ethereum","ETH",186.12,0.02,-0.08,-0.12,-2.31,2.18,3.32,-17.51,11.59,18.14,2019-11-07,"2019-11-07 21","2019-11-07 14:18:54","2019-11-07 21ETH"
22.11,68.13,2,"Ethereum","ETH",187.24,0.42,0.42,0.23,-2.25,2.79,3.95,-17.01,12.26,17.78,2019-11-07,"2019-11-07 22","2019-11-07 15:14:57","2019-11-07 22ETH"
21.61,68.09,2,"Ethereum","ETH",187.15,-0.09,-0.06,0.47,-2.15,2.74,3.89,-17.05,12.21,17.38,2019-11-07,"2019-11-07 23","2019-11-07 16:16:18","2019-11-07 23ETH"
21.19,67.83,2,"Ethereum","ETH",186.44,-0.2,-0.2,-0.02,-2.6,1.74,2.92,-15.72,10.75,16.95,2019-11-08,"2019-11-08 00","2019-11-07 17:15:36","2019-11-08 00ETH"
20.8,68.03,2,"Ethereum","ETH",187.95,0.29,0.34,0.36,-0.84,2.56,3.75,-15.04,11.64,16.51,2019-11-08,"2019-11-08 01","2019-11-07 18:16:00","2019-11-08 01ETH"
20.37,67.99,2,"Ethereum","ETH",187.27,-0.33,-0.28,0.25,-0.99,2.19,3.38,-15.35,11.24,16.12,2019-11-08,"2019-11-08 02","2019-11-07 19:15:11","2019-11-08 02ETH"
19.92,68.08,2,"Ethereum","ETH",187.4,-0.18,-0.14,0.04,-0.79,2.26,3.45,-15.29,11.32,15.68,2019-11-08,"2019-11-08 03","2019-11-07 20:15:24","2019-11-08 03ETH"
19.43,68.14,2,"Ethereum","ETH",187.76,-0.11,-0.05,-0.02,-0.76,2.46,3.65,-15.12,11.53,15.27,2019-11-08,"2019-11-08 04","2019-11-07 21:16:48","2019-11-08 04ETH"
19.04,67.85,2,"Ethereum","ETH",187.09,0.03,0.02,-0.3,-1.24,2.09,3.28,-15.43,11.13,14.93,2019-11-08,"2019-11-08 05","2019-11-07 22:16:12","2019-11-08 05ETH"
18.72,67.8,2,"Ethereum","ETH",186.4,-0.12,-0.18,-0.77,-1.41,1.72,2.9,-15.74,10.73,14.63,2019-11-08,"2019-11-08 06","2019-11-07 23:18:01","2019-11-08 06ETH"
18.44,67.67,2,"Ethereum","ETH",186.21,0.13,0.11,-0.45,-1.43,1.61,2.8,-15.82,10.61,14.41,2019-11-08,"2019-11-08 07","2019-11-08 00:14:23","2019-11-08 07ETH"
19.14,67.16,2,"Ethereum","ETH",184.25,-0.56,-0.63,-1.34,-2.21,0.54,1.71,-16.71,9.44,19.25,2019-11-08,"2019-11-08 08","2019-11-08 01:12:41","2019-11-08 08ETH"
27.91,66.41,2,"Ethereum","ETH",183.73,-0.33,-0.33,-1.22,-1.81,0.26,1.43,-16.95,9.14,21.15,2019-11-08,"2019-11-08 09","2019-11-08 02:15:06","2019-11-08 09ETH"
28.04,66.7,2,"Ethereum","ETH",185.18,0.16,0.1,-0.13,-1.2,1.05,2.23,-16.29,10,20.77,2019-11-08,"2019-11-08 10","2019-11-08 03:17:16","2019-11-08 10ETH"
27.8,66.91,2,"Ethereum","ETH",185.17,0.6,0.29,0.46,-1.03,1.05,2.22,-16.29,9.99,20.44,2019-11-08,"2019-11-08 11","2019-11-08 04:15:24","2019-11-08 11ETH"
27.55,66.66,2,"Ethereum","ETH",183.98,-0.03,-0.3,-0.56,-1.41,0.39,1.56,-16.83,9.28,19.99,2019-11-08,"2019-11-08 12","2019-11-08 05:18:42","2019-11-08 12ETH"
27.33,66.49,2,"Ethereum","ETH",183.62,-0.19,-0.34,-0.55,-1.89,0.2,1.36,-17,9.07,19.75,2019-11-08,"2019-11-08 13","2019-11-08 06:18:56","2019-11-08 13ETH"
38.97,65.47,2,"Ethereum","ETH",184.23,0.44,0.46,-0.16,-1.49,0.53,1.7,-16.72,9.43,20.13,2019-11-08,"2019-11-08 14","2019-11-08 07:18:59","2019-11-08 14ETH"
43.47,64.91,2,"Ethereum","ETH",182.88,-0.27,-0.2,-0.74,-1.63,-0.2,0.96,-17.33,8.63,19.76,2019-11-08,"2019-11-08 15","2019-11-08 08:18:15","2019-11-08 15ETH"
43.16,65.32,2,"Ethereum","ETH",184.4,0.44,0.38,0.55,-1.13,0.62,1.79,-16.65,9.53,19.71,2019-11-08,"2019-11-08 16","2019-11-08 09:20:12","2019-11-08 16ETH"
42.85,65.27,2,"Ethereum","ETH",184.58,0.01,0.11,0.72,-0.61,0.72,1.89,-16.56,9.64,19.34,2019-11-08,"2019-11-08 17","2019-11-08 10:17:28","2019-11-08 17ETH"
42.43,65.22,2,"Ethereum","ETH",184.77,0.23,-0.06,0.59,-0.85,0.82,2,-16.48,9.75,19.05,2019-11-08,"2019-11-08 18","2019-11-08 11:21:10","2019-11-08 18ETH"
41.95,65.57,2,"Ethereum","ETH",184.91,0.1,0.15,0.29,-1.02,0.9,2.08,-16.41,9.84,18.67,2019-11-08,"2019-11-08 19","2019-11-08 12:20:08","2019-11-08 19ETH"
41.5,65.87,2,"Ethereum","ETH",185.21,0.27,0.26,0.17,-0.57,1.06,2.24,-16.28,10.01,18.35,2019-11-08,"2019-11-08 20","2019-11-08 13:16:23","2019-11-08 20ETH"
41.4,65.63,2,"Ethereum","ETH",185.34,0.13,0.33,0.25,-0.5,1.14,2.32,-16.22,10.1,18.3,2019-11-08,"2019-11-08 20","2019-11-08 13:26:17","2019-11-08 20ETH"
41.03,65.63,2,"Ethereum","ETH",185.41,0.18,0.17,0.42,-0.57,1.18,2.36,-16.19,10.14,18.02,2019-11-08,"2019-11-08 21","2019-11-08 14:17:00","2019-11-08 21ETH"
40.66,65.87,2,"Ethereum","ETH",186.51,-0.03,-0.03,0.97,-0.4,1.78,2.96,-15.69,10.79,19.19,2019-11-08,"2019-11-08 22","2019-11-08 15:17:34","2019-11-08 22ETH"
40.32,65.61,2,"Ethereum","ETH",186.19,0.32,0.35,0.59,-0.33,1.6,2.78,-15.83,10.6,22.33,2019-11-08,"2019-11-08 23","2019-11-08 16:18:22","2019-11-08 23ETH"
39.92,65.27,2,"Ethereum","ETH",184.41,0.11,0.07,-1.16,-1.55,0.78,-4.62,-12.36,7.8,21.94,2019-11-09,"2019-11-09 00","2019-11-08 17:15:56","2019-11-09 00ETH"
39.5,65.39,2,"Ethereum","ETH",185.14,0.21,0.21,-0.22,-1.42,1.18,-4.25,-12.01,8.23,21.5,2019-11-09,"2019-11-09 01","2019-11-08 18:14:55","2019-11-09 01ETH"
39.12,65.39,2,"Ethereum","ETH",184.65,-0.18,-0.3,0.21,-1.6,0.92,-4.5,-12.24,7.94,21.25,2019-11-09,"2019-11-09 02","2019-11-08 19:13:21","2019-11-09 02ETH"
38.69,65.45,2,"Ethereum","ETH",184.81,-0.15,-0.15,0.03,-1.62,1,-4.41,-12.17,8.04,20.92,2019-11-09,"2019-11-09 03","2019-11-08 20:14:18","2019-11-09 03ETH"
38.56,65.39,2,"Ethereum","ETH",184.75,-0.03,-0.12,-0.25,-1.23,0.97,-4.44,-12.2,8,24.44,2019-11-09,"2019-11-09 04","2019-11-08 21:12:57","2019-11-09 04ETH"
38.4,65.56,2,"Ethereum","ETH",184.54,0.15,0.09,-0.3,-1.18,0.85,-4.55,-12.3,7.88,27.73,2019-11-09,"2019-11-09 05","2019-11-08 22:17:37","2019-11-09 05ETH"
37.89,65.79,2,"Ethereum","ETH",185.64,0.3,0.3,0.36,-0.2,1.45,-3.99,-11.77,8.52,27.12,2019-11-09,"2019-11-09 06","2019-11-08 23:15:46","2019-11-09 06ETH"
37.33,65.78,2,"Ethereum","ETH",185.61,-0.13,-0.17,0.67,0.1,1.44,-4,-11.79,8.5,26.65,2019-11-09,"2019-11-09 07","2019-11-09 00:14:10","2019-11-09 07ETH"
36.74,65.45,2,"Ethereum","ETH",185.24,-0.08,-0.04,0.08,0.49,1.24,-4.19,-11.96,8.29,26.1,2019-11-09,"2019-11-09 08","2019-11-09 01:14:35","2019-11-09 08ETH"
36.23,65.57,2,"Ethereum","ETH",185.68,0.25,0.33,-0.13,0.37,1.48,-3.96,-11.75,8.55,25.65,2019-11-09,"2019-11-09 09","2019-11-09 02:15:20","2019-11-09 09ETH"
35.73,65.66,2,"Ethereum","ETH",185.59,-0.36,-0.32,0.15,0.52,1.43,-4.01,-11.8,8.49,25.3,2019-11-09,"2019-11-09 10","2019-11-09 03:14:13","2019-11-09 10ETH"
35.24,65.74,2,"Ethereum","ETH",185.91,-0.15,-0.3,0.46,0.75,1.6,-3.85,-11.64,8.68,25.6,2019-11-09,"2019-11-09 11","2019-11-09 04:15:01","2019-11-09 11ETH"
34.72,65.74,2,"Ethereum","ETH",185.53,0.29,0.37,-0.35,0.7,1.4,-4.04,-11.82,8.46,25.11,2019-11-09,"2019-11-09 12","2019-11-09 05:16:42","2019-11-09 12ETH"
34.19,65.64,2,"Ethereum","ETH",184.48,-0.37,-0.44,-1.06,0.6,0.82,-4.58,-12.32,7.85,24.56,2019-11-09,"2019-11-09 13","2019-11-09 06:17:54","2019-11-09 13ETH"
33.73,65.76,2,"Ethereum","ETH",185.31,-0.07,-0.06,0.26,1.13,1.28,-4.15,-11.93,8.33,24.04,2019-11-09,"2019-11-09 14","2019-11-09 07:17:31","2019-11-09 14ETH"
33.24,65.42,2,"Ethereum","ETH",184.08,-0.24,-0.35,-0.66,0.21,0.61,-4.79,-12.51,7.61,23.5,2019-11-09,"2019-11-09 15","2019-11-09 08:19:53","2019-11-09 15ETH"
32.95,65.39,2,"Ethereum","ETH",184.39,0.46,0.21,-0.56,0.01,0.77,-4.63,-12.37,7.79,23.01,2019-11-09,"2019-11-09 16","2019-11-09 09:18:15","2019-11-09 16ETH"
32.64,65.45,2,"Ethereum","ETH",184.76,0.01,0.11,0.02,-0.07,0.98,-4.44,-12.19,8.01,22.55,2019-11-09,"2019-11-09 17","2019-11-09 10:18:40","2019-11-09 17ETH"
32.33,65.32,2,"Ethereum","ETH",184.75,-0.11,-0.05,0.41,0.06,0.97,-4.44,-12.19,8,22.65,2019-11-09,"2019-11-09 18","2019-11-09 11:18:02","2019-11-09 18ETH"
31.96,65.36,2,"Ethereum","ETH",185.1,0.13,0.04,0.29,0.2,1.16,-4.27,-12.03,8.2,22.38,2019-11-09,"2019-11-09 19","2019-11-09 12:18:42","2019-11-09 19ETH"
31.83,65.4,2,"Ethereum","ETH",185.45,0.32,0.22,0.33,0.19,1.35,-4.08,-11.86,8.41,24.46,2019-11-09,"2019-11-09 20","2019-11-09 13:17:06","2019-11-09 20ETH"
31.48,65.4,2,"Ethereum","ETH",185.33,0.07,0.04,0.17,-0.67,1.29,-4.14,-11.92,8.34,24.12,2019-11-09,"2019-11-09 21","2019-11-09 14:16:10","2019-11-09 21ETH"
31.2,65.54,2,"Ethereum","ETH",185.45,-0.04,-0.1,0.21,-0.05,1.35,-4.08,-11.86,8.41,23.76,2019-11-09,"2019-11-09 22","2019-11-09 15:16:11","2019-11-09 22ETH"
31.09,65.7,2,"Ethereum","ETH",185.8,-0.11,-0.16,0.29,0.83,1.54,-3.9,-11.7,8.61,23.36,2019-11-09,"2019-11-09 23","2019-11-09 16:14:19","2019-11-09 23ETH"
30.69,65.52,2,"Ethereum","ETH",185.28,-0.24,-0.22,-0.19,0.29,1.81,-3.31,-10.29,7.26,22.96,2019-11-10,"2019-11-10 00","2019-11-09 17:13:54","2019-11-10 00ETH"
30.3,65.34,2,"Ethereum","ETH",184.95,-0.17,-0.13,-0.62,-0.14,1.62,-3.49,-10.45,7.06,22.56,2019-11-10,"2019-11-10 01","2019-11-09 18:13:16","2019-11-10 01ETH"
30.31,65.38,2,"Ethereum","ETH",184.73,-0.26,-0.27,-0.52,-0.2,1.5,-3.61,-10.56,6.94,26.42,2019-11-10,"2019-11-10 02","2019-11-09 19:15:17","2019-11-10 02ETH"
29.99,65.21,2,"Ethereum","ETH",183.98,-0.29,-0.29,-0.65,-0.53,1.09,-3.99,-10.92,6.51,25.84,2019-11-10,"2019-11-10 03","2019-11-09 20:14:17","2019-11-10 03ETH"
29.59,65.29,2,"Ethereum","ETH",184.5,-0.05,-0.11,-0.39,0.07,1.38,-3.72,-10.67,6.81,25.25,2019-11-10,"2019-11-10 04","2019-11-09 21:22:09","2019-11-10 04ETH"
29.21,65.45,2,"Ethereum","ETH",185.42,0.15,0.14,0.49,0.18,1.88,-3.24,-10.22,7.34,24.63,2019-11-10,"2019-11-10 05","2019-11-09 22:29:48","2019-11-10 05ETH"
28.98,65.86,2,"Ethereum","ETH",187.74,-0.32,-0.26,1.64,0.98,3.16,-2.03,-9.1,8.68,24.17,2019-11-10,"2019-11-10 06","2019-11-09 23:28:57","2019-11-10 06ETH"
29.09,65.9,2,"Ethereum","ETH",187.53,0,0.01,1.27,1.2,3.04,-2.15,-9.2,8.56,24.97,2019-11-10,"2019-11-10 07","2019-11-10 00:21:50","2019-11-10 07ETH"
28.68,65.94,2,"Ethereum","ETH",187.56,-0.23,-0.07,-0.35,1.35,3.06,-2.13,-9.18,8.58,26.95,2019-11-10,"2019-11-10 08","2019-11-10 01:25:56","2019-11-10 08ETH"
