"Name","Price","Spread","Depth","ExchangeBidDepth","ExchangeAskDepth","Exchange","Date","DateTime","pkDummy"
"Bitcoin",6836.31,0.03,869240,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:15","2020-04-21 18"
"TrueUSD",0.9986,1.02,659370,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:16","2020-04-21 18"
"Ethereum",170.55,0.64,564276,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:16","2020-04-21 18"
"Bitcoin SV",182.34,1.23,243772,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:16","2020-04-21 18"
"USD//Coin",0.9988,1.06,208168,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:16","2020-04-21 18"
"Bitcoin",6837.75,0.04,1810441,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:15","2020-04-21 18"
"Bitcoin",6836.55,0,1930553,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:18","2020-04-21 18"
"Ethereum",170.46,0.01,1661877,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:18","2020-04-21 18"
"Bitcoin SV",182.39,0.01,386603,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:18","2020-04-21 18"
"Litecoin",40.561,0,372402,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:19","2020-04-21 18"
"XRP",0.18335,0.02,340625,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:19","2020-04-21 18"
"Bitcoin Cash",219.01,0,248791,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:19","2020-04-21 18"
"Tezos",2.1419,0.22,235467,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:19","2020-04-21 18"
"Zcash",42.084,0.11,167215,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:19","2020-04-21 18"
"Paxos Standard Token",1.0065,0.09,169732,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:16","2020-04-21 18"
"Dash",74.465,0.93,120311,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:17","2020-04-21 18"
"Bitcoin Cash",219.18,0.84,105311,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:17","2020-04-21 18"
"Qtum",1.3149,0.5,85923,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:17","2020-04-21 18"
"Chainlink",3.4546,0.24,46126,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:17","2020-04-21 18"
"Bitcoin",6837.58,0,25151152,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:17","2020-04-21 18"
"EOS",2.5179,0.02,6532894,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:17","2020-04-21 18"
"Ethereum",170.48,0.02,5125626,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:18","2020-04-21 18"
"Litecoin",40.56,0.02,4840922,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:18","2020-04-21 18"
"XRP",0.18336,0.03,3569411,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:18","2020-04-21 18"
"Bitcoin SV",182.38,0.02,2152860,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:19","2020-04-21 18"
"Bitcoin Cash",219.09,0.01,1964419,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:19","2020-04-21 18"
"TRON",0.01248,0.04,1700934,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:19","2020-04-21 18"
"Monero",55.121,0.03,1490688,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:19","2020-04-21 18"
"Stellar",0.050816,0.04,1478489,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:20","2020-04-21 18"
"Binance Coin",15.105,0.18,1405934,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:20","2020-04-21 18"
